No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
311,PRME,"Prime Medicine, Inc.",1350512255,13.89,6.44%,
312,SHCO,Soho House & Co Inc.,1350366020,6.91,-2.12%,1035415000
313,FIGS,"FIGS, Inc.",1350135753,8.08,-2.65%,515966000
314,CMPR,Cimpress plc,1348511921,51.23,0.91%,3013609000
315,ANDE,"The Andersons, Inc.",1345922760,39.90,3.91%,17228668000
316,LTC,"LTC Properties, Inc.",1345376500,32.50,-0.43%,183866000
317,ALEX,"Alexander & Baldwin, Inc.",1342985300,18.50,-0.48%,306500000
318,HMN,Horace Mann Educators Corporation,1342937568,32.88,-0.66%,1390000000
319,EVRI,Everi Holdings Inc.,1340975532,15.06,2.31%,807375000
320,DFIN,"Donnelley Financial Solutions, Inc.",1338697916,45.49,-0.94%,821200000
321,VRTS,"Virtus Investment Partners, Inc.",1337641887,183.53,0.16%,831813000
322,UCTT,"Ultra Clean Holdings, Inc.",1336482160,29.90,-1.55%,2243400000
323,RCUS,"Arcus Biosciences, Inc.",1335639312,18.27,3.75%,118995000
324,TTMI,"TTM Technologies, Inc.",1334643860,13.01,-0.84%,2458223000
325,PLRX,"Pliant Therapeutics, Inc.",1332183194,21.84,-1.36%,9768000
326,IAG,IAMGOLD Corporation,1332176056,2.77,1.47%,828400000
327,CLMT,"Calumet Specialty Products Partners, L.P.",1332105345,16.66,0.42%,4625700000
328,SVC,Service Properties Trust,1331840300,8.05,-0.74%,1898456000
329,MSEX,Middlesex Water Company,1331210019,75.29,-1.45%,164394000
330,SPNS,Sapiens International Corporation N.V.,1330952888,24.13,-0.29%,481762000
331,CHCO,City Holding Company,1330672170,88.30,-2.34%,264734000
332,GCMG,"Grosvenor Capital Management, L.P.",1330585600,7.12,,440518000
333,RYI,Ryerson Holding Corporation,1330477121,35.93,0.36%,5980900000
334,SATS,EchoStar Corporation,1330380364,15.88,-1.55%,1936156000
335,TRMK,Trustmark Corporation,1328859264,21.76,-2.07%,709505000
336,DHT,"DHT Holdings, Inc.",1328344115,8.15,3.03%,510314000
337,AKR,Acadia Realty Trust,1324699011,12.72,-1.32%,326622000
338,HLF,Herbalife Nutrition Ltd.,1322565748,13.37,-1.47%,5120700000
339,MDRX,"Allscripts Healthcare Solutions, Inc.",1322046000,12.10,1.60%,837191000
340,VEON,VEON Ltd.,1315343955,18.80,-2.34%,7565000000
341,PRO,"PROS Holdings, Inc.",1314564765,28.55,0.42%,282827000
342,UDMY,"Udemy, Inc.",1313636322,8.95,-1.76%,653304000
343,FCF,First Commonwealth Financial Corporation,1310831340,12.74,0.16%,408957000
344,WRBY,Warby Parker Inc.,1309991520,11.28,-4.73%,616862000
345,VVX,"V2X, Inc.",1309345373,42.23,-0.40%,3377849000
346,ALKT,"Alkami Technology, Inc.",1307535032,14.08,-0.85%,219476000
347,LNN,Lindsay Corporation,1307509651,118.79,-0.92%,746855000
348,PARR,"Par Pacific Holdings, Inc.",1306834285,21.41,-1.11%,7656701000
349,CHEF,"The Chefs' Warehouse, Inc.",1306078866,33.03,-1.55%,2820941000
350,BLDP,Ballard Power Systems Inc.,1302266565,4.36,-3.75%,76084000
351,PLMR,"Palomar Holdings, Inc.",1301808223,52.37,2.79%,338179000
352,UVV,Universal Corporation,1301436200,53.00,0.66%,2522818000
353,NSSC,"Napco Security Technologies, Inc.",1300844764,35.38,1.18%,168568000
354,TA,TravelCenters of America Inc.,1298565600,86.00,,10786936000
355,HPP,"Hudson Pacific Properties, Inc.",1296430805,4.56,1.33%,1033974000
